Team Name,Case Name,Case ID,Query Text,Doc ID,Title,Rating,overview,release_date
,Movies Solr2,3026,will smith,8961,Bad Boys II,3,"Martin Lawrence and Will Smith reunite as out-of-control trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force. Bullets fly, cars crash, and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Lawrence discovers that playboy Smith is secretly romancing his sexy sister Syd.",2003-07-18T00:00:00Z
,Movies Solr2,3026,will smith,41154,Men in Black 3,3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",2012-05-25T00:00:00Z
,Movies Solr2,3026,will smith,9541,Jersey Girl,1,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.",2004-03-25T00:00:00Z
,Movies Solr2,3026,will smith,2294,Jay and Silent Bob Strike Back,1,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.",2001-08-24T00:00:00Z
,Movies Solr2,3026,will smith,8488,Hitch,3,"Dating coach Alex ""Hitch"" Hitchens (Will Smith) mentors a bumbling client, Albert (Kevin James), who hopes to win the heart of the glamorous Allegra Cole (Amber Valletta). While Albert makes progress, Hitchens faces his own romantic setbacks when proven techniques fail to work on Sara Melas (Eva Mendes), a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitchens' connection to Albert -- now Allegra's boyfriend -- it threatens to destroy both relationships.",2005-02-10T00:00:00Z
,Movies Solr2,3026,will smith,10323,Clash of the Titans,1,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, Perseus must complete various tasks including taming Pegasus, capturing Medusa's head, and battling the Kraken monster.",1981-06-12T00:00:00Z
,Movies Solr2,3026,will smith,8489,Ali,4,"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African American's in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",2001-12-11T00:00:00Z
,Movies Solr2,3026,will smith,109443,Anchorman 2: The Legend Continues,1,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",2013-12-18T00:00:00Z
,Movies Solr2,3026,will smith,6479,I Am Legend,4,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",2007-12-13T00:00:00Z
,Movies Solr2,3026,will smith,256591,Focus,3,"A veteran grifter takes a young, attractive woman under his wing, but things get complicated when they become romantically involved.",2015-02-27T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,193,Star Trek: Generations,2,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,1994-11-17T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,157,Star Trek III: The Search for Spock,2,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,1984-05-31T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,152,Star Trek: The Motion Picture,2,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",1979-12-06T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,172,Star Trek V: The Final Frontier,2,Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.,1989-06-09T00:00:00Z
